rating,userName,date,title,isEdited,review,app_name,app_id,developerResponse
5,BLAQHAWK,2021-07-05 10:28:19,Horrible App Update!!!!!,False,"July 5, 2021 - The current update is working well and I have had no issues with it. I’m glad they brought back the ability to see where the delivery driver is located, so I can be downstairs waiting when arrive. It’s not real-time tracking like it was a couple years ago, but it updates pretty frequently. 

19 Apr 2020 - the current app update is HORRIBLE, do not update! They removed the ability to see where the rider is and they removed the ability to move the map around. You cannot even scroll around to see where the exact location of the restaurant is anymore, HORRIBLE!!!! All this and we still have to deal with made up times that keep changing and getting pushed back if the delivery isn’t running on time.",foodpanda-food-delivery,758103884,
1,PigBro69,2019-07-21 11:01:07,"Shady drivers, abominable customer service.",False,"This is a SCAM.  Please stay away from this service! My orders have been consistently late and the GPS never shows the real time location of the drivers. I put up with the mediocre service they provide, but just today they went too far. I always wait for the drivers 10 minutes before their eta because I had already heard stories about them leaving after only a couple of minutes so I decided not to risk it. However, today the driver picked up my food and on the app it appeared he did not even come close to my place. I waited in the yard where all drivers know where to hand the food. I saw drivers pulling over and handing the food but mine never came. He had the audacity to cancel and now I can't be refunded because he ""tried"" to reach me. The customer service is no better really. They don't listen to your concern and just repea the same sentences again and again. Pretty distasteful experience. The app is so laggy and doesnt even have in-app mesaage capabilities.",foodpanda-food-delivery,758103884,"{'id': 11338961, 'body': 'Hey PigBro69, \r\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.', 'modified': '2019-10-19T03:27:16Z'}"
5,dat_danny_doe,2020-11-21 06:06:38,Amazing Service!!!,False,"Okay, so before I begin let me start off by saying I found this app by searching for a way to order food from outside of the country of origin.

I’m an Amerikano with a Filipina SO and I wanted to try and order her food. Came upon a good opportunity to cheer her up with a milkshake and took it. Had never used the app before and actually ended up putting in the address wrong. Capital One worked internationally much to my excitement, and I messaged the rider about correcting the address and they used my correction and got it there very quickly. From the other side of the world, I was able to experience the joy of getting my girl a milkshake to cheer her up. Thank you so much Foodpanda, thank you thank you thank you!

Will definitely be using this app again!",foodpanda-food-delivery,758103884,
4,iMacPro,2019-03-13 05:25:30,Should improve the apps further,False,"I read reviews that foodpanda is always late. Normally they r late because the restaurant side delayed the food preparation. I have tried to order from stores stating 30mins but 30mins become 45mins, 1 hour in few times. The 1 hr wait from 25mins at off peak liked 11am was the last straw. I never ordered from that restaurant anymore. 

However I feel that the apps only show the real updated time of the whole delivery. On the real time tracking, they should also put the time order was placed. So we know the time has been changed (few times) to show the change in delivery timing. When I’m a new user, I keep on wondering why is it forever 30-35mins. But time had actually passed by. 

Once I have also placed an order for something near, the driver took a big detour to elsewhere. Although stated as reach but he personally called me to inform that he will be late. I’m ok with this. Sometimes if on the way and only 5-10mins extra I can wait. Plus there’s communication from driver. At least I won’t be left hanging did he went wrong route? 

Overall I only use foodpanda n their services r still not bad. Just that I don’t know how to read reviews left by myself n others. Not v user friendly apps.",foodpanda-food-delivery,758103884,
1,Farang working in Thailand,2019-05-08 12:14:11,Would give 0 stars if I could,False,"I am in Thailand for 6 months and enjoy walking around, trying the cuisine. Of course, this becomes exhausting and today, I slipped and sprained my ankle getting off the ferry. Decided to give this app a try and it failed. While I do not blame the driver, the restaurant or even the customer service agent, this app is faulty. It auto populates your location. And so for some reason the address was way off when it did so even though the map location looked correct. The driver calls me, asking where I am and I can only respond in English though I tried the words for Hotel etc. and I said the hotel name and everything. So I contacted customer service and they asked me to meet the driver at that random location that I have no idea how to find. 

At that point, I said keep the food and the money. I didn’t even ask for a refund. The app is broken. I would have liked to use this app for my travels but cannot and will not try it again.",foodpanda-food-delivery,758103884,"{'id': 11328285, 'body': '""Hey there, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.""\t ', 'modified': '2019-10-18T11:53:06Z'}"
1,mkeyes911,2018-07-08 14:28:38,Left starving,False,"I waited for 2 hours in hoping my food would be just mins away. Just to find out my driver took 2 hours just to get to the restaurant and the restaurant closed on them. I dont understand when there estimated time of arrival to me was 10p but they barely got to the restaurant at 10:15 and surprised that the restaurant was closed. So with it being past the time of estimated arrival to me, all other restaurants were then also closed. So left with no other choice but to starve over night in hopes just to find food in the morning. I WOULD NEVER use this app again!!! I might as well just called the restaurant itself to have placed my order and paid more for delivery fee then to be left starving over night. I would not recommend this app unless you want the chances of being left starving at night. BTW I was being very nice that I placed my order at 8p to give them plenty of time to get my order to me. I’m very disappointed in the service of this app.",foodpanda-food-delivery,758103884,"{'id': 11351731, 'body': 'Hey mkeyes911, \r\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.\r\n', 'modified': '2019-10-20T09:38:20Z'}"
1,UpInBlue,2018-01-07 06:57:14,Absolutely disgraceful customer service and a terrible experience,False,"I tried to make an order to this new version of the app and picked the name of the building. The app doesn’t show you further details or the map. Once the order went through it showed a map and I realized the location registered wrong on the map.

I immediately messaged them (since there is no longer a telephone hotline) and got no response. Then I saw my messages had been deleted. I tried again and finally got a message saying it was ok and the rider would be redirected to the correct address. Then one hour after my order had been created I got a phone call saying that they would not deliver as it was out of the delivery zone, and said it was all my fault because I had input the wrong address. Their app is actually at fault because it went to the incorrect address to begin with. Furthermore, although they refuse to deliver they have still charged my credit card and won’t refund for a few days.

Their customer service rep refused the idea that their system had any problems and said I should have chosen the district correctly to begin with. Problem is their app doesn’t allow you to do that!

How can they charge me money for something they refuse to deliver? And to have us wait an hour before informing us the order wouldn’t be sent?

Horrible upgrade and terrible customer service.",foodpanda-food-delivery,758103884,"{'id': 11342015, 'body': 'Hey UpInBlue,\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.\r\n', 'modified': '2019-10-19T09:04:15Z'}"
1,Kyerie,2018-09-02 05:37:06,Deleting the app.,False,"Been using this app for years, but for some reason it seems to be getting worse. Using this app always causes to eat lunch at 3pm or dinner at 9 or 10 because it’s ALWAYS. SO. LATE. It has come to the point where the wait (and not to mention the extra money for delivery charge) is not worth it. Just now we ordered our lunch at 12, the app saying it would only take 45 minutes to get here. By the time it was 1pm, there was no update on the status of our order. Upon asking customer service they said there was nothing they could do to track it. Next thing I know I get a notification saying that the restaurant JUST THEN started to prepare our food, the time when it was supposed to be arriving. When I checked the status of the order on the app, the ETA had changed from 1pm to now 2pm. Ridiculous. By the time I’m done writing this review, our lunch has still not arrived. This will be our last order using Foodpanda.",foodpanda-food-delivery,758103884,"{'id': 11344349, 'body': 'Hey Kyerie, \r\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.\r\n', 'modified': '2019-10-19T13:08:01Z'}"
1,GorgeousJen,2021-07-01 06:12:11,Wrong address delivery,False,"This is very disappointing since it’s my first time to
Order from foodpanda, I ordered a food for a friend since I liked to treat them for my upcoming birthday however when I placed the order and waited for how many minutes and even my friend was waiting infront of their house nothing came up and suddenly the foodpanda app was marked as DELIVERED which unfortunately never came to my friend: i spoke to an agent name Muhammad and we had a long convo and after telling me he will do his best to help
Me resolve the issue even if I’m still
Asking questions to him he ended up the convo and marked it again as issue RESOLVED which has not been resolved at all since my friend back there in the Philippines hasn’t received the food that I ordered. So calling all the foodpanda delivery department I do hope you will take action on this matter and rest assure it will not happened again. And this will be a lesson for me from now on.",foodpanda-food-delivery,758103884,
1,FaryaKhan80,2019-08-29 17:11:43,Foodpanda is a fraud.. scam!!! they are thieves,False,"Foodpanda is the worst, every time i have placed an order they have messed up and then the customer support is the worst It is so inconvenient, and mess around with the order a lot and they have a lot of complaints mostly people in my workplace have stopped using this app
1. you place order and then keep waiting for it and when you check why your order hasnt arrived they tell you 'it has been cancelled'
3. sometimes the thing you order is just incomplete and which feels more like a fraud because you pay money for it
2.you have to wait for hours and hours for the support to respond back on your query and when they do they just say oh sorry heres your voucher which is convenient for them but it’s not worth our time and money 
i have a request please dont use their app, they are a fraud they scam people on a big scale and we should report this app to FIA",foodpanda-food-delivery,758103884,"{'id': 11326271, 'body': '""Hey Farya, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.""\t', 'modified': '2019-10-18T10:19:07Z'}"
5,Aaron E Bolton,2018-05-20 13:44:54,Best alternative to uberEats,False,"Most (perhaps all) menus are available in English, unlike GrabFood. For this reason, Foodpanda is the best food delivery app in Bangkok now that uberEats is gone from Thailand. I have never had significant problems with the functionality of the app. One complaint is that the app doesn’t accept my Amex or MasterCard for some reason, so I always use PayPal. Cash on delivery is also an option. In rare cases when my order is late, Foodpanda has proactively sent a voucher for discount on future orders. The tracker of the delivery driver is good but not quite as accurate as uberEats was. That is a very minor gripe though. Overall the app is great and I use it a lot.",foodpanda-food-delivery,758103884,
1,Farang28,2018-06-15 13:15:11,Terrible customer service,False,"Foodpanda is very slow. All my orders are late. Today I had to cancel an order that was over 2 hours late and still had a 30 minute “estimated” delivery time. Their app says to use live chat or contact by email to cancel and when I tried both, the email said it would give a response in 48 hours and to use the live chat, i waited a while for someone to come on to the live chat to cancel the order. They were very rude and ended the chat before even ending the conversation, I presume because they do not care about their customer experience. The first person ended the chat and another representative entered the chat just to end the conversation with thank you and have a nice day and immediately left before I could finish typing thank you which is extremely rude. And now here I am, 2 hours and 20 minutes later with no food and my family is getting ready for bed.",foodpanda-food-delivery,758103884,"{'id': 11341742, 'body': 'Hey Farang28, \r\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.\r\n', 'modified': '2019-10-19T08:36:32Z'}"
1,Hungry-in-Penang,2019-05-08 08:05:16,Installed and removed the same day,False,"Great service.. It only took almost 3 and a half hours before I was able to get some food at my door. 😏 My first order was cancelled 15 mins after it was supposed to have arrived, and my second was cancelled after waiting for 20 minutes. Customer service chat did provide me with 5 ringgit to towards my next order, but I had to pointedly request compensation.. 3rd order arrived on time.

When I asked why my app indicated that my order was prepared, picked up and was on its way, I was told that the delivery person simply refused to deliver because it was too far away.. Um, c’mon if this service is going to work at all, this company is going to have to create reliability in the system. Right now, it’s a mess....  Hopefully they will address these critical systemic weaknesses that are absolutely essential for a time-sensitive service where people are waiting to eat.",foodpanda-food-delivery,758103884,"{'id': 11328300, 'body': '""Hey there, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.""\t ', 'modified': '2019-10-18T11:53:32Z'}"
1,verastar98,2021-04-27 12:15:33,Order cancelled and money not refunded,False,"I placed an order and after checkout the restaurant closed. My order was cancelled but my credit card was still charged. After a few days waiting for the refund I contacted customer service. They said to wait 2 weeks. So I waited. After 2 weeks, I checked my credit card and still there was no refund. I contacted customer service again. They kept giving me a refund serial number and saying that my order was refunded. I gave them my bank statement and showed them images of the cancelled order. (The app deletes order history after a short period of time). Each time they reply to my request it’s a different person and there is no phone number for you to call. It is so frustrating. It’s been a month since my cancelled order and I still haven’t received my refund. I will never order through foodpanda again.",foodpanda-food-delivery,758103884,
1,Pelican Sandwich,2017-11-15 01:17:35,Chat Interface Laughably Broken,False,"Horrible customer service. Chat interface redirects you to an on demand call center in India, no matter what country you are currently in. They also do not notify you when an employee messages you back, which enables them to shirk the responsibility of your complaint when you don’t respond immediately, instead opting to close the chat and mark it as resolved. If you have a complaint involving missing food, good luck getting your money back, or really getting anyone on the line to care. When you do get someone on the line, they say because they are in India they can’t help with your case, and ask you to email the company instead, even though they are the recipients of your question? And Vivek kept calling me sir. I am a teenage girl with a very feminine name. Point is, if your chat interface doesn’t work, then just list the email option to communicate instead of wasting my time.",foodpanda-food-delivery,758103884,"{'id': 11351758, 'body': 'Hey Pelican, \r\n\r\nThanks for reaching out. \r\n\r\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\r\n\r\nIf you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.\r\n', 'modified': '2019-10-20T09:44:09Z'}"
1,Adnan101,2020-01-21 12:57:44,REFUND SCAM !!!!,True,"Foodpanda is good but their refund is a scam !!! I 
Made three orders , but due to rain and rider unavailability they cancelled my orders AFTER debitting the money from my debit card , and promised to refund BUT it’s been more than 20 days , everytime I contact they lie and make false promises , same scripted lies “ it’s in process , department is taking concern seriously , u will get it soon , we have started reversal “ but it’s all lies , the bank has confirmed and checked many times and they have not even started reversal process from their side , foodpanda takes money within seconds but when it’s time to refund , their finance department is a fraud !!! and on top even after multiple chats with support and email , they don’t do anything and keep stalling ,, I ask to get in touch with manager , they give excuses , no one calls their email support doesn’t reply to emails , FOODPANDA PK IS A FRAUD WHEN IT COMES TO REFUNDS ....",foodpanda-food-delivery,758103884,"{'id': 11325973, 'body': '""Hey Adnan, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response.""\t', 'modified': '2020-01-21T12:57:44Z'}"
1,Zzanggu63,2020-05-18 14:47:16,Very disappointing to say the least,False,"I say it again. Time wasting. Abdominable service. 
Would give 0 star if I could
Prepaid my food via credit card. Apps says the driver has arrived but is no where to be seen. Customer support is not able to give proper answer as to why the food is gone missing / just the driver has gone missing / unreachable. What kind of food service makes people pay first, make them wait over 50 minutes just to be told the driver is not reachable and will refund my order. No apologies were given. Did the driver pick up my order and got an accident/ ate my order? Plus the app did not let me order via cash payment just because there were 2 cancelled orders when the driver clearly couldn’t find my place and I was unable to pick up a phone call while working. The type of service they offer is abdominable.",foodpanda-food-delivery,758103884,
5,cvk_cvk,2019-01-20 13:57:52,Great food service,False,"My wife and I live in Chiang Mai, and we use Food Panda about 1–2 times per week. Overall it’s a great service. Sometimes the app is frustrating because it will “forget” what you are browsing in the app if you switch to another app for a moment, which happens to me a lot when I need to use my Thai dictionary when writing special order instructions. But the food almost always arrives pretty quickly. If there is a problem with your order, a very nice lady from Food Panda calls and explains what’s wrong — “the soup is not available ka!” — and offers a solution. I’m very grateful for the app because it’s so convenient.",foodpanda-food-delivery,758103884,
5,Marily Chen,2020-03-06 08:31:13,Quick service,False,"I think it depends on restaurants therefore I don’t need to wait too much time. Just only 30-45 minutes. Mostly I ordered coffee from cafe so fast service that I got. Keep going like this but I have to suggest one thing for delivery man. It happened on my second time’s order. He asked me my address number. I think it shouldn’t be like this. This app will be using not only locals but also foreigners. As a result of this, please look for delivery man at least who can read English numbers. 🙂 I know it’s related in  your budget to look for delivery guys but mostly Myanmar people can talk 👉broken language 😁",foodpanda-food-delivery,758103884,
5,Doc4docd,2019-08-14 03:37:15,International Credit or bank card refused,False,"We had very nice experience with foodpanda during our visit to Pakistan, especially my kids enjoyed a lot and were very happy to have fresh and delicious food just one click away !
However we couldn’t pay by our card because our bank card were international VISA card so we have to keep cash with us.
Now we are away from Pakistan and I am trying to order food for  my mother who is very old but I can not order because card not accepted. Please please open this option for international customers so we can serve our loved ones. Jazak Allah",foodpanda-food-delivery,758103884,
2,just call me zach,2020-03-27 11:15:14,An occasional joke.,False,"I am utterly surprised on how bad their service it at times. Firstly, as always, the food is ALWAYS late. I’ve never had an order that was early, or on a timely manner. I once spent a lot of time ordering food from my family, and as soon as I was about to press “Place Order”, it just said that “This restaurant is unavailable at the moment.” Or whatever. THEY WAIT TO TELL YOU AT THE END. I’m pretty sure they do it on purpose, to see their customers get frustrated. I also ordered from another restaurant, only for it to be late by 2 hours. Yup! 2 hours! But the worst part is, that they waited 2 HOURS TO CANCEL MY ORDER. I waited 2 hours, only for my food to get cancelled. COME ON, WHAT?!?! And not to mention the User Interface. Their app is so broken. It doesn’t respond, it crashes, it lags. The regular.",foodpanda-food-delivery,758103884,
1,chris852852,2019-10-12 15:37:41,Cold Food,False,"I have past orders where they sent me something different than I ordered and I let it go. This time was too much. The food was finished being prepared and the driver picked it up. Drove past my apartment where he stopped at LKF for more than 15 mins. I tried to cancel my order and was told if I did they would take the “pay by cash” option off my app. And reassured me that my food would still be warm because they use insulating bags. I told them that’s fine but to cancel the order. When the driver did finally arrived, he kept calling over and over again. I was like ok maybe I’m over reacting, maybe there’s a reason. Picked up my order, the food was cold and ice cream was melted and spilt all over the plastic bag it came in. I wish I hadn’t picked up and paid for this waste of food. Will definitely be using Deliveroo whenever I order.",foodpanda-food-delivery,758103884,"{'id': 11325450, 'body': '""Hey Chris, \n\nThanks for reaching out. \n\nWe aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support.\n\nIf you would like to get in touch with us directly, please contact us via our live chat support for a immediate response.\n""\t', 'modified': '2019-10-18T09:43:34Z'}"
4,Khun Manao,2018-03-15 04:26:02,This App needs works. I like the Delivery Service,False,"This App is annoying. 
2 Major flaw’s that have not been addressed.

1- Random address the app selects each time I open the App. I have a profile with a delivery address, this address has been delivered to 25+ times, But each time I open the app it selects a random nearby address(?).
- Why have a profile if it’s not used? If you don’t pay attention the food will be sent to a wrong address.

The Pizza, KFC’s app’s don’t behave this way.

2- Previous order.
I tend to order the same things. I can see my previous orders but cannot select them for reordering. This feature is available in other food delivery Apps, either as a reorder or being able to save favorites that can be reordered.
Having to reenter the order consumes extra time reduces the ease of use and creates a poorer user experience.

These are two simple flaws that are a major annoyance and are easily fixed.
Fix these two flaws your user experience will be greatly enhanced.",foodpanda-food-delivery,758103884,
1,Neddy6677,2019-01-02 03:55:01,No more service in my area,False,"Food panda used to deliver in my area (Somewhere in PJ) and even though they weren’t very timely with their deliveries, it was still convenient. I could order ahead of time and my meals would arrive by the time i’d want to eat. I would also excuse all the times when it was peak delivery and I couldn’t order anything because I felt that perhaps they didn’t have enough delivery drivers and ok lah I’d let that pass. But then, I opened my Food Panda app one day and no restaurants available to me at all!  It’s been months now and I just tried again, you know, for fun, and still no deliveries available :( I don’t live very far away from major malls and eateries so I’m very disappointed that I can’t use this app any more. I have since moved on to Grab. Thank you Food Panda, it was nice knowing you.",foodpanda-food-delivery,758103884,"{'id': 11328564, 'body': 'Hey there, Thanks for reaching out. We aim to provide all our customers with the best service possible. Our team is working hard to address this issue and we want to assure you that we truly appreciate your support. If you would like to get in touch with us directly, please contact us via our live chat support for an immediate response or you may drop us an email for further assistance.', 'modified': '2019-10-18T12:04:01Z'}"
1,pinju1,2020-09-20 02:55:03,What a terrible service!,False,"The app simply does not work! We make a $60 order for a special family meal and nothing comes... we later find out the food was delivered to the wrong address and thrown out. We try to contact/chat with someone through the app and go around in circles trying to get our food or a refund, until finally someone agrees to call back. The call comes back hours later when my wife is sleeping (she works remotely on US time from Singapore) and so she misses the call. Now, when she tries to continue the chat the next day she is blocked on the app. The Food Panda people are deliberately controlling the app to take money from people without fixing their mistakes and doing what they are supposed to do: deliver food! We, as a family, will never use the Food Panda again!",foodpanda-food-delivery,758103884,
